id,codigo_municipio,codigo_estado,nombre_municipio
sat_municipio_1,001,AGU,Aguascalientes
sat_municipio_2,001,BCN,Ensenada
sat_municipio_3,001,BCS,Comondú
sat_municipio_4,001,CAM,Calkiní
sat_municipio_5,001,COA,Abasolo
sat_municipio_6,001,COL,Armería
sat_municipio_7,001,CHH,Ahumada
sat_municipio_8,001,CHP,Acacoyagua
sat_municipio_9,001,DUR,Canatlán
sat_municipio_10,001,GRO,Acapulco de Juárez
sat_municipio_11,001,GUA,Abasolo
sat_municipio_12,001,HID,Acatlán
sat_municipio_13,001,JAL,Acatic
sat_municipio_14,001,MEX,Acambay de Ruíz Castañeda
sat_municipio_15,001,MIC,Acuitzio
sat_municipio_16,001,MOR,Amacuzac
sat_municipio_17,001,NAY,Acaponeta
sat_municipio_18,001,NLE,Abasolo
sat_municipio_19,001,OAX,Abejones
sat_municipio_20,001,PUE,Acajete
sat_municipio_21,001,QUE,Amealco de Bonfil
sat_municipio_22,001,ROO,Cozumel
sat_municipio_23,001,SIN,Ahome
sat_municipio_24,001,SLP,Ahualulco
sat_municipio_25,001,SON,Aconchi
sat_municipio_26,001,TAB,Balancán
sat_municipio_27,001,TAM,Abasolo
sat_municipio_28,001,TLA,Amaxac de Guerrero
sat_municipio_29,001,VER,Acajete
sat_municipio_30,001,YUC,Abalá
sat_municipio_31,001,ZAC,Apozol
sat_municipio_32,002,AGU,Asientos
sat_municipio_33,002,BCN,Mexicali
sat_municipio_34,002,BCS,Mulegé
sat_municipio_35,002,CAM,Campeche
sat_municipio_36,002,COA,Acuña
sat_municipio_37,002,COL,Colima
sat_municipio_38,002,CHH,Aldama
sat_municipio_39,002,CHP,Acala
sat_municipio_40,002,DIF,Azcapotzalco
sat_municipio_41,002,DUR,Canelas
sat_municipio_42,002,GRO,Ahuacuotzingo
sat_municipio_43,002,GUA,Acámbaro
sat_municipio_44,002,HID,Acaxochitlán
sat_municipio_45,002,JAL,Acatlán de Juárez
sat_municipio_46,002,MEX,Acolman
