id,codigo_regimen,nombre_regimen
regimen_601,601,General de Ley Personas Morales
regimen_603,603,Personas Morales con Fines no Lucrativos
regimen_605,605,Sueldos y Salarios e Ingresos Asimilados a Salarios
regimen_606,606,Arrendamiento
regimen_607,607,Régimen de Enajenación o Adquisición de Bienes
regimen_608,608,Demás ingresos
regimen_610,610,Residentes en el Extranjero sin Establecimiento Permanente en México
regimen_611,611,Ingresos por Dividendos (socios y accionistas)
regimen_612,612,Personas Físicas con Actividades Empresariales y Profesionales
regimen_614,614,Ingresos por intereses
regimen_615,615,Régimen de los ingresos por obtención de premios
regimen_616,616,Sin obligaciones fiscales
regimen_620,620,Sociedades Cooperativas de Producción que optan por diferir sus ingresos
regimen_621,621,Incorporación Fiscal
regimen_622,622,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras"
regimen_623,623,Opcional para Grupos de Sociedades
regimen_624,624,Coordinados
regimen_625,625,Régimen de las Actividades Empresariales con ingresos a través de Plataformas Tecnológicas
regimen_626,626,Régimen Simplificado de Confianza
