id,codigo_pais,nombre_pais,formato_codigo_postal,formato_registro,validacion_registro,agrupaciones
sat_pais_1,AFG,Afganistán,,,,
sat_pais_2,ALA,Islas Åland,,,,
sat_pais_3,ALB,Albania,,,,
sat_pais_4,DEU,Alemania,,,,Unión Europea
sat_pais_5,AND,Andorra,,,,
sat_pais_6,AGO,Angola,,,,
sat_pais_7,AIA,Anguila,,,,
sat_pais_8,ATA,Antártida,,,,
sat_pais_9,ATG,Antigua y Barbuda,,,,
sat_pais_10,SAU,Arabia Saudita,,,,
sat_pais_11,DZA,Argelia,,,,
sat_pais_12,ARG,Argentina,,,,
sat_pais_13,ARM,Armenia,,,,
sat_pais_14,ABW,Aruba,,,,
sat_pais_15,AUS,Australia,,,,
sat_pais_16,AUT,Austria,,,,Unión Europea
sat_pais_17,AZE,Azerbaiyán,,,,
sat_pais_18,BHS,Bahamas (las),,,,
sat_pais_19,BGD,Bangladés,,,,
sat_pais_20,BRB,Barbados,,,,
sat_pais_21,BHR,Baréin,,,,
sat_pais_22,BEL,Bélgica,,,,Unión Europea
sat_pais_23,BLZ,Belice,,,,
sat_pais_24,BEN,Benín,,,,
sat_pais_25,BMU,Bermudas,,,,
sat_pais_26,BLR,Bielorrusia,,,,
sat_pais_27,MMR,Myanmar,,,,
sat_pais_28,BOL,"Bolivia, Estado Plurinacional de",,,,
sat_pais_29,BIH,Bosnia y Herzegovina,,,,
sat_pais_30,BWA,Botsuana,,,,
sat_pais_31,BRA,Brasil,,,,
sat_pais_32,BRN,Brunéi Darussalam,,,,
sat_pais_33,BGR,Bulgaria,,,,Unión Europea
sat_pais_34,BFA,Burkina Faso,,,,
sat_pais_35,BDI,Burundi,,,,
sat_pais_36,BTN,Bután,,,,
sat_pais_37,CPV,Cabo Verde,,,,
sat_pais_38,KHM,Camboya,,,,
sat_pais_39,CMR,Camerún,,,,
sat_pais_40,CAN,Canadá,[A-Z][0-9][A-Z] [0-9][A-Z][0-9],[0-9]{9},,TLCAN
sat_pais_41,QAT,Catar,,,,
sat_pais_42,BES,"Bonaire, San Eustaquio y Saba",,,,
sat_pais_43,TCD,Chad,,,,
sat_pais_44,CHL,Chile,,,,
sat_pais_45,CHN,China,,,,
sat_pais_46,CYP,Chipre,,,,Unión Europea
sat_pais_47,COL,Colombia,,,,
sat_pais_48,COM,Comoras,,,,
sat_pais_49,PRK,Corea (la República Democrática Popular de),,,,
sat_pais_50,KOR,Corea (la República de),,,,
sat_pais_51,CIV,Côte d'Ivoire,,,,
sat_pais_52,CRI,Costa Rica,,,,
sat_pais_53,HRV,Croacia,,,,Unión Europea
sat_pais_54,CUB,Cuba,,,,
sat_pais_55,CUW,Curaçao,,,,
sat_pais_56,DNK,Dinamarca,,,,Unión Europea
sat_pais_57,DMA,Dominica,,,,
sat_pais_58,ECU,Ecuador,,,,
sat_pais_59,EGY,Egipto,,,,
sat_pais_60,SLV,El Salvador,,,,
sat_pais_61,ARE,Emiratos Árabes Unidos (Los),,,,
sat_pais_62,ERI,Eritrea,,,,
sat_pais_63,SVK,Eslovaquia,,,,Unión Europea
sat_pais_64,SVN,Eslovenia,,,,Unión Europea
sat_pais_65,ESP,España,,,,Unión Europea
sat_pais_66,USA,Estados Unidos (los),[0-9]{5}(-[0-9]{4})?,[0-9]{9},,TLCAN
sat_pais_67,EST,Estonia,,,,Unión Europea
sat_pais_68,ETH,Etiopía,,,,
sat_pais_69,PHL,Filipinas (las),,,,
sat_pais_70,FIN,Finlandia,,,,Unión Europea
sat_pais_71,FJI,Fiyi,,,,
sat_pais_72,FRA,Francia,,,,Unión Europea
sat_pais_73,GAB,Gabón,,,,
sat_pais_74,GMB,Gambia (La),,,,
sat_pais_75,GEO,Georgia,,,,
sat_pais_76,GHA,Ghana,,,,
sat_pais_77,GIB,Gibraltar,,,,
sat_pais_78,GRD,Granada,,,,
sat_pais_79,GRC,Grecia,,,,Unión Europea
sat_pais_80,GRL,Groenlandia,,,,
sat_pais_81,GLP,Guadalupe,,,,
sat_pais_82,GUM,Guam,,,,
sat_pais_83,GTM,Guatemala,,,,
sat_pais_84,GUF,Guayana Francesa,,,,
sat_pais_85,GGY,Guernsey,,,,
sat_pais_86,GIN,Guinea,,,,
sat_pais_87,GNB,Guinea-Bisáu,,,,
